호선,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
5호선,영등포시장,3,0,3086,1032,6093,5035,23134,13723,33299,37012,16309,22992,12258,17600,13016,17635,16357,20990,15718,23930,17078,19669,20815,16885,25102,17806,30963,21223,40533,33453,17880,20961,12917,13045,11167,12903,7975,11658,3568,7659,392,1582,0,0,0,0,0,0,20231103
5호선,오금,16,1,1302,464,3063,2379,7978,9090,8327,20120,6336,6492,5232,3982,5509,3633,5542,3850,5115,3827,5219,4219,6635,4524,7329,5677,9718,6772,13825,8125,4452,6489,3310,3997,2666,3581,2178,3765,783,2643,66,846,0,0,0,0,0,0,20231103
5호선,오목교(목동운동장앞),8,0,5077,1847,15099,8458,49290,27424,55218,62103,32010,49447,25257,31987,26762,31402,30094,31570,30400,35603,31287,34310,34557,36898,41049,43378,49799,54049,64393,73707,34994,47458,37605,27839,29562,24300,23117,20356,7106,12113,875,3132,0,0,0,0,0,0,20231103
5호선,올림픽공원(한국체대),2,0,1232,864,5627,4293,11943,6094,12770,11568,9356,8060,8404,8582,8132,8082,8855,9237,8757,9760,8997,11764,10666,12826,13055,15754,13278,18772,11267,15030,8424,12032,16217,5785,17122,5046,10973,4010,1569,3036,68,703,0,0,0,0,0,0,20231103
5호선,왕십리(성동구청),26,2,2219,405,2029,3194,5623,5905,8410,17501,5035,9493,4836,7027,5640,7293,6198,8062,6331,8371,7447,8623,8288,8462,10226,9783,10788,12158,14512,17132,8862,9270,7754,5652,8278,5158,6990,4467,3030,2731,470,2084,0,227,0,0,0,0,20231103
5호선,우장산,2,1,7560,851,22456,4760,55160,14034,58147,21803,32553,15961,25829,13834,24821,13945,25555,16833,23459,19605,21360,21187,23822,24865,26592,29958,23443,36307,19780,54192,11825,41657,8818,26020,7556,23487,5829,23938,1866,13683,254,3281,0,0,0,0,0,0,20231103
5호선,을지로4가,6,0,590,495,945,6208,2496,17859,3635,43105,3944,18895,4917,12851,6314,12564,7740,11966,9268,10980,10958,10112,12714,8848,15538,8229,27355,7829,38248,8293,14928,4495,10111,2865,8339,2942,5383,2114,2618,1402,360,432,0,0,0,0,0,0,20231103
5호선,장한평,29,0,8048,1693,19004,13635,52719,22999,72932,62677,39760,30026,25535,19767,22502,19130,24525,20102,23957,20719,22861,19979,24585,22744,32289,28753,40959,41125,59537,65019,25107,44228,15149,28347,12280,26550,9480,23230,4195,14331,571,3965,0,103,0,0,0,0,20231103
5호선,종로3가,50,5,1630,470,2378,6255,3681,15096,5938,43016,8175,35909,10077,33130,13492,36720,18914,36612,22297,34920,28446,32180,34412,30213,42059,30157,50157,33254,63379,38336,39422,22823,36938,13956,39661,11120,32649,8647,18528,5467,2256,1651,0,14,0,0,0,0,20231103
5호선,천호(풍납토성),82,4,7824,1817,12150,15428,29960,20180,37435,40102,25238,37591,23732,29830,27010,29836,30733,30418,31984,34341,34250,32933,39143,36251,45519,39452,51353,44758,55210,57214,37106,39295,33630,24629,24763,21328,18345,18394,8648,11250,1366,3482,0,10,0,0,0,0,20231103
