호선,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
6호선,상수,70,1,5503,1187,6934,3224,10222,6765,14060,25418,10301,32395,8178,21381,8809,18844,12275,21846,15116,23695,15413,20599,17543,19027,21759,22217,28198,27707,31496,36090,22531,24504,21217,15610,23462,13166,22757,12087,16714,9479,2674,2587,0,0,0,0,0,0,20231103
6호선,상월곡(한국과학기술연구원),23,1,5470,564,9225,2435,23920,3714,28248,14613,15738,9663,11009,9937,10649,8304,10435,7168,10798,8022,9977,7629,8837,9001,11565,11475,10213,13906,9765,19916,6222,17185,3796,10441,4875,10098,2740,9089,1563,6576,142,1767,0,0,0,0,0,0,20231103
6호선,새절(신사),4,0,11840,762,20519,4611,53198,8526,61528,15562,33543,12331,22489,10017,20404,11664,20672,13012,19508,15768,16989,15277,17046,20241,20587,24294,17604,31281,15602,48402,9951,40111,6450,24010,5454,21018,3861,19626,1832,12517,251,4058,0,9,0,0,0,0,20231103
6호선,석계,1171,4,8768,1849,18933,5370,48511,8319,53282,15957,29990,11774,21834,11024,18982,13285,20178,14339,19335,15727,17092,16291,16524,20978,17254,27651,17677,33882,15852,51784,11664,43044,8246,24964,7152,22739,6447,20244,3838,13111,627,4173,1,11,0,0,0,0,20231103
6호선,신내,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20231103
6호선,신당,123,2,5786,1134,5212,7352,7712,14545,12232,35734,10108,21823,8922,13614,10421,12176,12990,12099,12353,12959,12983,10618,14835,10182,19156,12477,23835,15105,26680,21358,16659,20558,14819,11397,14050,9361,18495,9203,7743,9700,1396,2321,1,4,0,0,0,0,20231103
6호선,안암(고대병원앞),11,0,2052,1476,3406,6785,9536,17582,12648,50518,11376,36007,13630,38947,16808,23222,18458,20031,20224,25594,23980,20812,25872,15720,38752,15210,49241,18156,36396,25099,21340,17619,19174,12447,20053,12981,18417,13248,12188,9274,2099,3437,0,95,0,0,0,0,20231103
6호선,약수,3,2,1308,268,1841,2412,4840,5815,7943,15221,6433,9007,5065,5268,5191,5306,5934,5159,5934,5452,5863,5178,6196,6114,7124,6324,9158,8484,12876,9698,6955,5895,5389,3741,5675,3224,4215,2912,2038,1833,383,525,0,0,0,0,0,0,20231103
6호선,역촌,7,0,2510,379,5643,2777,16089,3117,16800,8329,9629,4989,6740,3586,5991,4940,6922,5676,6568,5570,5808,5399,5524,6663,5257,9288,5415,11818,5300,18039,3138,14562,2195,8387,1804,8017,1266,7216,666,5029,61,1349,0,0,0,0,0,0,20231103
6호선,연신내,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,2,0,2,0,3,0,1,0,2,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20231103
6호선,월곡(동덕여대),28,0,7496,874,13678,3776,39851,8034,47567,28851,26454,18865,19146,15629,17807,14711,18549,14223,19339,16101,20701,15699,18566,18245,22285,23774,22871,28536,26561,42386,14314,32685,10288,19518,9343,18303,6310,16994,3174,11012,495,2975,0,0,0,0,0,0,20231103
6호선,월드컵경기장(성산),0,0,976,1336,2874,3687,8395,5669,9267,12047,6115,19082,6632,32495,9534,35426,13839,32694,18056,36232,25373,38401,34575,26584,45224,20896,45124,20429,29183,26278,16836,20600,10791,6011,12000,3978,18974,3223,3201,1621,249,392,0,0,0,0,0,0,20231103
6호선,응암,25,0,12323,1223,26675,6056,70552,9795,86543,17877,47868,14557,31504,14322,28883,15137,29057,18508,27868,19700,23838,22115,22786,29906,24139,36719,23210,48542,22280,76241,14494,59227,10658,38462,8943,32647,6560,29589,2701,19275,355,5654,0,0,1,0,0,0,20231103
6호선,이태원,146,1,11642,1274,10634,8037,10855,11448,14499,28659,12510,25399,10981,19492,12032,17967,14346,21003,16524,22406,18785,21880,22777,22858,28174,26915,33234,31354,40234,37053,30665,32442,26487,25088,26952,22181,25951,19744,18121,15906,2325,5314,0,0,0,0,0,0,20231103
6호선,증산(명지대앞),39,3,8294,556,16324,3426,38500,5409,47306,11130,27820,9606,18408,8365,15724,9684,16694,10525,15694,12359,14045,13276,13313,16475,14114,21165,13613,28321,13224,41191,7636,33825,5766,20706,4503,19666,3639,17255,1627,10262,266,3238,0,0,0,0,0,0,20231103
6호선,창신,12,0,2605,318,5105,2183,14555,5939,16509,5728,8875,3959,5637,3348,4947,3171,5021,3638,4914,3951,4209,3872,4350,4664,6562,5768,5538,7064,5161,9524,3187,7834,2878,4949,1753,4948,1200,4886,631,3040,92,867,0,0,0,0,0,0,20231103
6호선,청구,9,0,1957,554,2779,2734,7324,6890,10226,22049,6872,11105,4931,4557,4964,4090,4628,4164,5290,4884,5210,4276,5547,5146,6696,5819,8178,6676,13774,8164,8838,5308,5503,3804,4188,3576,3512,3404,1740,2006,283,736,0,0,0,0,0,0,20231103
6호선,태릉입구,18,0,4227,882,7127,3308,17761,4118,21503,9900,12127,8185,9415,6177,8955,8946,9969,7675,9084,8659,8535,9788,8738,10020,9938,12377,9463,15937,9769,23851,6105,19372,4993,11466,4363,11081,3737,10008,2117,8042,400,3473,0,2,0,0,0,0,20231103
6호선,한강진,13,0,890,822,1634,9019,3376,20495,5596,39973,4988,28014,4259,22507,5342,22484,8000,23309,10563,30430,13463,24878,19912,25244,28484,26566,41508,26055,46564,27470,29236,12582,24760,4821,21548,3981,26865,3267,4162,2284,455,1783,0,141,0,0,0,0,20231103
6호선,합정,22,2,4108,1531,6255,6624,13751,15787,19955,41474,15693,29251,13260,19260,14851,19512,17518,20821,18844,23997,21198,20964,23304,22967,26252,27085,33825,33270,47826,44859,32451,29252,29894,15770,32191,14098,27533,12913,15263,9352,2247,2360,0,0,0,0,0,0,20231103
6호선,화랑대(서울여대입구),18,0,6971,1117,21995,3622,58289,8306,54903,18469,28879,13287,19279,10146,17608,10112,17950,8886,17967,11020,15971,10443,17748,13029,20775,16765,20593,23510,16632,35721,8842,31506,5938,19441,4995,16904,3782,15622,1543,11181,180,3584,0,33,0,0,0,0,20231103
6호선,효창공원앞,12,0,2732,615,5823,3926,17037,8207,26386,25760,16050,16118,10692,12871,10512,10473,11970,8845,13006,9732,11111,9637,12137,10097,16010,12329,17371,14570,24284,21523,10449,14636,7606,9020,7475,8149,5695,7422,2707,5325,466,1848,1,0,0,0,0,0,20231103
7호선,가산디지털단지,688,7,7463,5849,9935,31118,22783,129888,27018,360504,20124,198162,18917,58344,23359,35832,30065,34954,34789,37315,40648,32071,52922,29467,76628,28253,199625,30916,287494,35753,114278,24451,65571,15789,49215,13443,26724,11835,11499,8372,1461,2895,3,2,0,0,0,0,20231103
7호선,강남구청,21,1,1892,1886,4055,18284,7351,34565,10074,99510,9229,99017,9803,40974,11688,23963,14160,21926,17531,23489,21432,19685,27614,17785,33274,18177,50052,19883,85784,21028,52840,13776,33571,8849,31242,6975,21903,5786,9213,3863,1514,1685,0,0,0,0,0,0,20231103
